time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/explained_variance,train/std,train/n_updates,train/policy_objective,train/value_loss
2356,449.07,548,1425.3581914800002,1122304,476,0.001,0.006637075915932655,1.0,0.9986910206498578,0.21537868678569794,547,0.05822433531284332,1.8767979238182306
2361,449.77,549,1427.94919049,1124352,476,0.001,0.009744389913976192,1.0,0.9988167899427935,0.2158706933259964,548,0.05462175980210304,0.8933667559176683
2365,448.57,550,1425.5911548399997,1126400,476,0.001,0.009939401410520077,1.0,0.9987826374126598,0.21583802998065948,549,0.06751232594251633,2.3552825905382635
2369,450.84,551,1432.4599178600004,1128448,476,0.001,0.009948997758328915,1.0,0.9987899617990479,0.216140016913414,550,0.05538694187998772,2.739743913710117
2374,447.14,552,1419.9190713500002,1130496,476,0.001,0.006401950027793646,1.0,0.9982456677826121,0.21561174094676971,551,0.0499441884458065,0.6964298190549016
2377,443.07,553,1407.3934028700003,1132544,476,0.001,0.0066207461059093475,1.0,0.933661513030529,0.21623729169368744,552,0.047583527863025665,65.08611220866442
2382,439.93,554,1395.3761807299995,1134592,476,0.001,0.009402548894286156,1.0,0.9937924649566412,0.21662038564682007,553,0.06129206717014313,4.935651234537363
2385,434.75,555,1378.6642190300001,1136640,476,0.001,0.00993997510522604,1.0,0.9962178447749466,0.21685723960399628,554,0.06478732824325562,4.780520845204592
2390,438.45,556,1390.1372826,1138688,476,0.001,0.009767790324985981,1.0,0.965777013450861,0.21642260253429413,555,0.029186079278588295,72.78400337398052
2393,438.56,557,1387.1657947600002,1140736,476,0.001,0.006433921400457621,1.0,0.9969759183004498,0.2162463665008545,556,0.047629982233047485,3.7704700499773027
2397,435.71,558,1380.5233717200003,1142784,476,0.001,0.006527254357933998,1.0,0.9967500646598637,0.2159653902053833,557,0.0537787564098835,1.896877818927169
2401,433.17,559,1373.8949545100002,1144832,476,0.001,0.009552099741995335,1.0,0.9984327772399411,0.21514791250228882,558,0.05687298625707626,3.3885599844157697
